비트코인 고가변동률,이더리움 고가변동률,비트코인캐시 고가변동률,이오스 고가변동률,트론 고가변동률,라이트코인 고가변동률
3.1881695,1.2213627,-1.594269871,-0.083849329,0.309777348,0.320636573
-0.4650513,1.0761069,-0.502479556,-0.67905189,2.75028597,-0.721642612
-4.9746706,-4.1799171,-9.812807298,-10.47001807,-5.525536813,-7.828197487
1.8011935,5.7879043,5.108807322,5.004667409,2.430455289,4.630567208
3.6109071,12.317513,4.891748033,5.757778415,5.125221351,5.083858328
2.4219842,2.4127114,2.240251068,1.306620209,2.086669077,1.158400109
-1.5181052,4.9795341,1.919150674,2.469503124,-2.433985084,2.743741881
2.6289822,-0.4900009,-1.057167867,-1.680426445,2.241228296,-1.282362319
-2.8230844,-1.816159,8.026913984,5.233274046,1.48496732,3.731799389
12.6940694,4.4044704,7.063587867,4.552444301,-1.116798511,9.641688675
3.6724122,3.2310335,1.393714466,1.984025676,2.817500399,2.494798295
1.0710353,7.5119334,6.063651591,3.35871532,2.994962768,10.10698637
-0.210439,2.6759203,-1.379367308,-1.096115129,1.168780812,-1.500744895
1.2957965,4.9208017,1.224865181,0.92184972,0.484248024,1.228653804
1.0204839,8.0855207,3.085541909,1.095515235,1.434056007,2.293609202
2.2617808,2.8284177,1.602522002,0.685561088,0.882838754,2.983505444
-0.0693782,0.00417188,-0.144281217,0.065151573,-0.119467516,-0.191213506
0.2826456,1.2118397,1.096181047,3.580643881,0.756620429,0.084017924
0.1840578,0.9806848,0.457350917,-0.023812359,0.605501413,0.904295403
-0.4585764,-2.0628889,-1.314578678,-1.520362698,-1.533132701,-2.383853245
-0.4962137,-0.7830626,-1.062169427,-0.276727599,-0.844547041,-1.291127751
-0.0495968,-0.2974223,-0.628985008,-0.279839869,0.039427735,0.056760132
-0.5873778,-1.207966,-2.400874574,-2.733252684,-3.479395455,-3.380423814
-0.0878151,0.5127364,-0.526998202,-0.451603191,-0.669618749,0.740315131
0.4550589,0.8897534,-0.087755955,0.666767692,-1.771695311,1.074380165
-0.1536016,-0.2188545,-0.196021187,-0.381175227,0.969417814,0.392420675
-1.3217447,-2.2049025,-2.33003381,-2.791840927,-2.343218788,-2.771115859
-0.2516308,-0.4542531,-0.085470085,0.974254492,5.507422328,0.585539157
0.9294434,2.1895411,0.663716814,2.842013029,0,2.656520858
0.0875788,0.7407714,0.361842105,-0.368177332,-0.209262625,0.477289178
2.3323424,5.1523064,7.696395359,6.55611729,6.937165067,4.842764312
-0.3561199,-0.2604167,-0.326624294,-0.834235752,0.538780343,-0.014227449
0.6786983,0.9906198,1.328324165,1.609748146,0.231440271,1.185277604
-1.5043684,-1.6807447,-0.81181794,2.72533177,-2.245040028,-0.529832936
-0.3154268,-0.1849701,-0.529520784,-0.590952599,1.394035645,-0.152511677
0.9695863,1.7062607,0.345377258,0.590254521,2.51447178,-0.12138522
-0.3174741,-0.5482313,-0.572334243,-0.986487607,1.642559451,-0.539734394
0.4746612,0.9177132,0.798792935,0.550137534,2.204961163,0.547449599
-0.054404,-1.5391267,-2.648291355,-3.475742216,-0.137620418,-2.526564893
-1.1402141,-0.9421842,-0.949976465,-0.893070728,-0.280706132,-0.953650298
-0.3302135,-0.7607633,-0.468503769,-0.783227848,-0.39145023,1.244707087
-3.518009,-5.5932271,-4.385893468,-2.645665653,-4.299221026,-3.731410142
-0.4961093,1.8221187,0.618725671,0.057799014,0.316153663,0.364159511
-0.3722352,-0.6574942,0.110755599,-0.196131216,2.026656929,-0.331585787
3.6201547,6.5792889,4.175035255,1.896626043,2.603971525,1.852950573
0.1777636,0.0952546,-0.531327042,-0.117421425,-0.255372158,-0.070690717
-0.3130306,-0.4225231,-0.557950799,0.286544198,-0.421757737,0.405256892
-0.5949116,-1.1717585,-1.68308191,-1.05639273,-0.499876574,-1.207871522
-0.6622239,-0.7863031,-0.885575418,-0.444650659,-1.650886137,-1.107258696
-0.3497927,0.2542912,1.585840412,0.936658471,1.359581667,1.208937991
0.9209986,1.1185395,0.272719644,-0.361642557,0.444911327,0.22235836
0.1583164,-2.155317,-1.054466955,-1.361666219,-3.026126558,-2.316148765
-0.1075394,-0.0544822,-0.512142739,-0.305915644,-0.22122571,-0.143859416
-0.655669,-0.2591648,-0.52588332,-0.247940189,0.704479769,-0.335281791
-3.998914,-4.2198823,-5.596711011,-5.435919634,-6.243649091,-3.39250325
-0.2577501,0.1042042,-0.40174605,-0.248272884,0.305775764,-0.263543814
1.1534716,0.0240529,0.778603963,-0.721583196,-1.81252085,0.568558299
0.7049304,0.9469467,0.085719852,-0.564771072,-3.040431267,0.051324822
-0.0367655,0.8859312,0.308762605,-0.315133489,2.136328598,-0.468274409
0.6030966,0.2086487,-0.840987482,-0.643799472,6.191896159,-0.493497691
-1.1476625,-1.240404,-2.012683705,-0.785340314,-0.938314509,-1.539039039
-0.1855156,0.4423522,0.981708019,4.269025003,-0.386568198,-0.259999584
2.0398875,0.6741298,2.83134193,1.563539587,2.229562345,1.229654897
-5.2913111,-3.337151,-5.812657852,-6.474919625,-3.241639082,-4.880833166
-0.9173154,1.3610344,5.704526717,2.385587371,2.714109854,2.781037074
6.2523206,1.8261118,0.823338479,1.91177001,-0.848590526,1.650973007
-0.3525216,-0.4948286,-0.358917725,-0.129687669,4.831830368,-0.460311179
1.3900901,9.8120435,3.969490691,4.098852471,7.002216717,6.061811032
-0.1487909,1.9016929,1.216120865,1.899193702,1.167469164,0.889275207
4.3415953,5.8362955,2.755149913,1.583789449,1.43172543,1.993589598
2.4047762,1.6007809,1.379280526,1.569214998,1.294388723,2.166844721
0.3917629,-0.3016738,-0.763751824,-0.408371618,0,-0.473846012
-3.578347,-2.3193916,-1.84467655,-2.222990094,-3.549251585,-2.851817753
-0.1203887,-0.2985358,-1.000667111,-0.565014889,-2.323948158,-0.451548005
0.5370941,0.9519709,1.390826464,-0.380314901,3.907390208,0.206079341
-3.2779003,-1.2004915,-2.598204727,0.608379568,0.099608208,0.105390618
-2.6675348,-1.7186919,-1.898529649,-2.28080015,-2.882755063,-3.327480436
-0.5524135,-0.2178447,-1.323341837,0.243628186,-0.51328115,0.80194039
-0.4662545,-0.5760369,-1.503670841,-2.691662412,0.115621788,-1.589144786
0.6507196,3.4367701,3.751527495,2.581562406,2.677746999,4.583380187
2.9961374,3.2837731,1.973001038,-0.216531024,0.443855581,1.372455144
-2.4502016,-0.4411332,-1.060288497,0.775018811,-1.54578659,-0.650056625
-0.6867257,-0.8745506,-0.883910387,0.335963157,-0.097738972,-0.464424204
5.3587793,2.4897919,1.446280992,3.658632024,0.3859236,1.4199154
4.6862625,4.5719642,1.331546772,3.763855617,2.022022022,2.201294604
-1.8084034,-0.6312739,0.479636486,-1.092325609,3.637872605,-0.130691498
-4.5958994,-8.0546173,-10.48171444,-9.598838265,-10.25386382,-8.868755184
-3.4418041,-2.009324,-4.168772107,-2.681599774,-2.875572703,-4.2148794
-1.0750434,-0.8963223,4.487856389,0.379472994,0.45418761,1.425678747
-0.1475132,1.1401869,3.436707626,1.118881119,1.969865382,0.494186047
7.0335086,1.6047859,1.220090026,-1.046841732,-0.258684405,1.334006649
3.2493639,-0.3359674,0.51196571,-0.226596799,-2.439610624,-0.439919558
1.4890168,0.3323363,-0.182228737,-0.699644904,1.574707031,-0.878340497
-2.4471368,-3.7075981,-5.647753607,-5.445297696,-1.104605541,-3.545033948
2.0442456,1.6686033,2.43902439,2.111409077,1.098431684,0.807607664
-0.5984315,-0.8479653,0.426824579,0.611338798,0.214041096,2.712511147
-4.2087417,-4.4307421,-5.570079884,-5.966985677,-2.025164769,-5.076771654
5.8193642,3.9987175,4.910289132,0.806112208,1.22513343,1.91798411
